id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,initial_sentiment_x_log_review_count,first_review_date,last_review_date_in_window
1127787-big_fish,38,28,10,1,0.7368421052631579,0.45454545454545453,positive,3.6635616461296463,1.6652552936952938,2004-01-09,2004-01-18
1127803-highwaymen,7,1,6,3,0.14285714285714285,-0.7647058823529411,negative,2.0794415416798357,-1.590161178931639,2004-02-13,2004-02-20
1128345-company,19,17,2,6,0.8947368421052632,0.7727272727272727,positive,2.995732273553991,2.3148840295644475,2003-12-25,2004-01-02
1128577-peter_pan,68,53,15,22,0.7794117647058824,0.5443037974683544,positive,4.23410650459726,2.304640249337749,2003-12-25,2004-01-03
1129132-torque,88,21,67,34,0.23863636363636365,-0.5428571428571428,negative,4.48863636973214,-2.436688314997447,2004-01-14,2004-01-23
1130343-girl_next_door,5,5,0,2,1.0,1.0,positive,1.791759469228055,1.791759469228055,2004-02-20,2004-02-27
1130470-home_front,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2003-04-25,2003-04-25
1131148-ned_kelly,2,2,0,1,1.0,1.0,positive,1.0986122886681098,1.0986122886681098,2003-03-28,2003-03-31
1131155-envy,63,4,59,20,0.06349206349206349,-0.8904109589041096,negative,4.1588830833596715,-3.7031150742243653,2004-04-30,2004-05-09
1131721-punisher,75,21,54,22,0.28,-0.4418604651162791,negative,4.330733340286331,-1.9135798480334951,2004-04-16,2004-04-24
1132642-mother,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2003-05-16,2003-05-16
1133499-1133499-terminal,82,51,31,24,0.6219512195121951,0.23404255319148937,positive,4.418840607796598,1.0341967379949486,2004-06-18,2004-06-27
1133712-reno_rebel_without_a_pause,4,3,1,2,0.75,0.4,positive,1.6094379124341003,0.6437751649736402,2003-05-02,2003-05-08
1133964-king_arthur,98,27,71,29,0.2755102040816326,-0.44,negative,4.59511985013459,-2.0218527340592196,2004-07-07,2004-07-16
1135237-kal_ho_naa_ho,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,0.0,2003-12-01,2003-12-02
1135853-as_tears_go_by,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,0.0,2008-05-02,2008-05-02
1135882-uncovered_the_war_on_iraq,21,17,4,10,0.8095238095238095,0.5769230769230769,positive,3.091042453358316,1.783293723091336,2004-08-20,2004-08-28
1136293-lightning_in_a_bottle,10,9,1,4,0.9,0.8333333333333334,positive,2.3978952727983707,1.998246060665309,2004-10-22,2004-10-31
1136501-pride_and_prejudice,4,3,1,0,0.75,0.5,positive,1.6094379124341003,0.8047189562170501,2003-12-05,2003-12-05
1139157-doppelganger,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2003-09-27,2003-09-27
1139289-beauty_shop,73,31,42,28,0.4246575342465753,-0.11494252873563218,mixed,4.30406509320417,-0.49472012565565177,2005-03-30,2005-04-07
